state,median,lower_bound,upper_bound,group
indiana,13.4983016230144,2.30033307622736,33.9314588678321,Female
iowa,5.67885562961358,1.07231938591769,12.2760027888603,Female
kansas,-2.11941341872987,-12.1881265214624,4.6244916742375,Female
kentucky,10.2789409612086,1.81656935285109,22.5748452021049,Female
louisiana,30.0021490915797,6.24421192235455,62.9485655885347,Female
maine,2.2210768700534,0.314940264311692,5.83172257857676,Female
maryland,1.0682013811333,0.0569528214533203,3.16341695234645,Female
maryland,8.5994618521996,0.531039676939241,26.9044203756027,Female
massachusetts,23.3227841902621,4.33137862491864,53.4944717493108,Female
michigan,11.1578248606119,1.14757367557776,31.184259118878,Female
minnesota,-2.0026070800942,-7.83114129444872,0.773587957938924,Female
mississippi,17.7389604649698,3.46579980154216,38.1490896499181,Female
missouri,13.2729118713938,2.1214859670844,32.541533162382,Female
montana,-0.34713912950855,-1.50414999232948,0.254014360366354,Female
nevada,1.16876529497128,3.2513926751844e-4,3.9052092351057,Female
new hampshire,0.577982715414087,-0.880794847855916,3.18527981179212,Female
new jersey,16.1281930185521,2.52877951795519,41.3677629291649,Female
new mexico,0.641048126862711,-0.470020699302679,2.59760404852301,Female
new york,71.6418634443185,13.662752023504,159.930944017187,Female
north carolina,37.592519761329,6.81463192307481,88.360859443014,Female
north dakota,-0.16203174265153,-0.804047631586774,0.218923612862031,Female
ohio,32.5648068365996,6.10214964227623,71.8230153532057,Female
oklahoma,4.96426186646227,0.302720798139989,14.1675443528752,Female
oregon,-10.0241998792879,-28.07104202857,-0.859130973398306,Female
pennsylvania,13.9683542795459,0.0823135880634207,43.7404656384055,Female
rhode island,2.18407116388569,0.291536485926055,6.41288241104169,Female
south carolina,19.937635342528,3.97418635797054,45.3533186843537,Female
south dakota,-0.0735588034155843,-0.971695541421106,0.661190138693916,Female
tennessee,14.865561958316,-0.851098014378132,46.7077948340386,Female
texas,167.698368980305,33.355643077223,344.749221237127,Female
utah,2.54225559572047,0.418484453795915,6.60090403548161,Female
vermont,0.344751441130176,-0.503215550862185,1.75672068448914,Female
virginia,19.739924068481,3.66874416069078,46.1983963106082,Female
washington,-5.36325338358068,-19.1799053626313,1.62093080575413,Female
wisconsin,10.7376488950049,1.98881861084278,24.3735853218623,Female
wyoming,-0.161942711849101,-0.881769902098946,0.26651770678322,Female
state_sum,854.186118952858,82.0364435393739,1990.42320151532,Female
alabama,40.7266916516625,7.65562074218835,88.730521760164,Male
arkansas,18.5999406959119,2.53537228176117,47.9326725648843,Male
california,66.054578029742,11.3931901758964,153.982682662743,Male
colorado,10.8443959665175,1.29411363083594,30.3340467307935,Male
connecticut,18.0146154392257,3.12269872105822,43.6267126717942,Male
florida,251.178276130029,49.6024494252582,531.976408251506,Male
georgia,115.913475432682,22.5507130173434,245.320312262173,Male
idaho,1.85124273270892,0.0190870092886773,5.77421398998102,Male
illinois,57.5590002912998,11.0003384694474,135.485793359387,Male
indiana,23.2150888607975,3.99876412184029,57.780262752303,Male
iowa,9.39102704938193,1.84493179279595,20.3172771686439,Male
kansas,-3.65870079474328,-20.5472465217856,7.43802332915245,Male
kentucky,18.7991922304096,3.66259155997663,41.6158251843859,Male
louisiana,50.4712794876729,10.2840504516486,103.412895667056,Male
maine,4.01489625788649,0.632655017493047,10.8134325730296,Male
maryland,1.78185831944446,0.0460496403040464,5.3937010390474,Male
maryland,14.9334225542682,0.603883540211911,45.370731614043,Male
massachusetts,43.6767738827937,8.34454117406435,98.2221447766523,Male
michigan,18.1889240248113,1.98627589235196,51.1173806860036,Male
minnesota,-3.97964755543026,-15.4173488811642,1.42897748270783,Male
mississippi,33.4649434523274,6.65964696279863,70.4607527341215,Male
missouri,23.6936425400594,4.06410177957708,58.1400422016185,Male
montana,-0.588280144640195,-2.45195922852608,0.397305139981824,Male
nevada,1.70902298104348,0.0206143073901714,5.61912362793162,Male
new hampshire,1.01617158244624,-1.85884846791292,5.60762684190462,Male
new jersey,28.8203356107115,4.47435561809128,74.2181947788476,Male
new mexico,1.26565180959538,-0.976411067061352,5.17320788240368,Male
new york,118.891574430645,22.398728805951,264.015029664757,Male
north carolina,54.9510684076122,9.83880048297617,127.655997379337,Male
north dakota,-0.315091367824625,-1.59518292723189,0.449712105292294,Male
ohio,53.3507841972288,10.0466375268863,118.705520046846,Male
oklahoma,8.43391410831477,0.38346546945494,24.3214142418773,Male
oregon,-15.1351782452932,-42.4102167305148,-1.08226308570511,Male
pennsylvania,27.3070424491618,-0.0254306710581379,82.1235801273501,Male
rhode island,3.79189362082997,0.468236276339593,10.8967793157749,Male
south carolina,37.6054056158238,6.83011610166101,85.393317695531,Male
south dakota,-0.103190337994747,-1.40488532722724,0.932131821317286,Male
