state,median,lower_bound,upper_bound,median_100k,lower_bound_100k,upper_bound_100k,group
maryland,1.81485826106604e-4,1.11220738678174e-5,5.37605956693652e-4,18.148582610660398,1.1122073867817401,53.760595669365195,Marginal
maryland,1.82841463693554e-4,8.10064649823e-6,5.38897719598956e-4,18.2841463693554,0.810064649823,53.889771959895604,Marginal
massachusetts,5.01495072474013e-4,9.13981083233469e-5,0.00108282695814173,50.1495072474013,9.139810832334689,108.28269581417301,Marginal
michigan,1.31375289174531e-4,1.73054975759003e-5,3.55574009184072e-4,13.137528917453102,1.73054975759003,35.557400918407204,Marginal
minnesota,-7.88010678922333e-5,-2.75607809893276e-4,2.81640720061089e-5,-7.880106789223331,-27.5607809893276,2.81640720061089,Marginal
mississippi,6.94834565797463e-4,1.28315329142425e-4,0.00143466071765593,69.4834565797463,12.831532914242501,143.466071765593,Marginal
missouri,2.93616796466909e-4,5.3172604233797e-5,6.9718028060174e-4,29.3616796466909,5.3172604233797,69.718028060174,Marginal
montana,-6.47825224763386e-5,-2.67176151595646e-4,3.95521914872288e-5,-6.47825224763386,-26.717615159564602,3.95521914872288,Marginal
nevada,6.65688467792489e-5,3.52122840502441e-7,2.14620013514764e-4,6.656884677924889,0.0352122840502441,21.4620013514764,Marginal
new hampshire,6.60116589902428e-5,-1.03331333206918e-4,3.32584921377581e-4,6.60116589902428,-10.333133320691799,33.2584921377581,Marginal
new jersey,2.52889817641569e-4,4.03725816930959e-5,6.32140928441106e-4,25.288981764156897,4.03725816930959,63.2140928441106,Marginal
new mexico,4.82446587013999e-5,-3.3397689771227e-5,1.89394316424263e-4,4.824465870139989,-3.3397689771227,18.9394316424263,Marginal
new york,4.59177138992389e-4,7.90297980100538e-5,0.00100524918873763,45.9177138992389,7.9029798010053796,100.52491887376301,Marginal
north carolina,3.7872682103408e-4,7.30624128175696e-5,7.97455489705683e-4,37.872682103407996,7.30624128175696,79.7455489705683,Marginal
north dakota,-6.32965632469429e-5,-3.02940010913672e-4,7.6374420040674e-5,-6.32965632469429,-30.2940010913672,7.637442004067399,Marginal
ohio,4.07823327858182e-4,7.7440609344869e-5,8.64888493936586e-4,40.7823327858182,7.7440609344869,86.4888493936586,Marginal
oklahoma,1.51598875178649e-4,7.46514817641806e-6,4.30094123881519e-4,15.1598875178649,0.746514817641806,43.0094123881519,Marginal
oregon,-3.94627257420272e-4,-0.00106476193069912,-3.24857273582201e-5,-39.462725742027196,-106.476193069912,-3.24857273582201,Marginal
pennsylvania,1.52729892608346e-4,-1.51353234695078e-7,4.65930490418656e-4,15.272989260834601,-0.015135323469507802,46.593049041865605,Marginal
