state,median,lower_bound,upper_bound,median_100k,lower_bound_100k,upper_bound_100k,group
new jersey,2.54892943146036e-4,3.63388092733439e-5,6.33859840672198e-4,25.489294314603598,3.6338809273343897,63.3859840672198,Marginal
new mexico,4.62716295202327e-5,-3.27849042631701e-5,1.84699809229569e-4,4.62716295202327,-3.27849042631701,18.4699809229569,Marginal
nevada,6.58366648310544e-5,-6.20721101349424e-7,2.11296661881548e-4,6.583666483105439,-0.0620721101349424,21.1296661881548,Marginal
new york,4.63358160424393e-4,8.55534435058844e-5,9.97210724479637e-4,46.3358160424393,8.55534435058844,99.72107244796369,Marginal
ohio,4.05619789193118e-4,7.25978578759456e-5,8.7363531221349e-4,40.5619789193118,7.25978578759456,87.36353122134899,Marginal
oklahoma,1.51765988468742e-4,6.98487349962642e-6,4.20372632496277e-4,15.1765988468742,0.6984873499626421,42.0372632496277,Marginal
oregon,-3.93977116902396e-4,-0.00106840999825168,-3.25451669494668e-5,-39.3977116902396,-106.84099982516801,-3.25451669494668,Marginal
pennsylvania,1.54482485946541e-4,3.7974248103418e-6,4.6242955124054e-4,15.448248594654101,0.37974248103418,46.242955124054,Marginal
rhode island,2.45498756180803e-4,3.15649883601105e-5,6.86930071385986e-4,24.5498756180803,3.15649883601105,68.6930071385986,Marginal
tennessee,3.86758421181542e-4,-1.79914947269029e-5,0.00114003159522029,38.6758421181542,-1.79914947269029,114.00315952202901,Marginal
texas,8.68023922443944e-4,1.77229474727248e-4,0.00168802173317507,86.8023922443944,17.7229474727248,168.802173317507,Marginal
utah,1.25433532724445e-4,2.21048576603037e-5,3.10817664321748e-4,12.5433532724445,2.21048576603037,31.081766432174803,Marginal
vermont,8.10061599144823e-5,-1.12126590453077e-4,3.98767803467897e-4,8.10061599144823,-11.212659045307701,39.8767803467897,Marginal
washington,-1.42211744661136e-4,-5.10393659416522e-4,4.67277220280523e-5,-14.2211744661136,-51.0393659416522,4.67277220280523,Marginal
wisconsin,3.00562992020702e-4,5.54990346879576e-5,6.61727154463378e-4,30.0562992020702,5.54990346879576,66.1727154463378,Marginal
