state,strata,pop_at_risk,par_se
wyoming,female,3273.880033606339,302.8921361477251
iowa,female,17063.527492455873,1233.9423822308065
massachusetts,female,54411.24158248332,4949.534902858682
north dakota,female,3019.235240851057,354.63145500441556
delaware,female,11298,1685.204081632653
idaho,female,8792.926826036659,800.5292689384398
virginia,female,58205.849957180006,4438.474724708439
minnesota,female,30402.482853955556,4200.343136451847
south dakota,female,5041,918.8775510204082
alabama,male,71246.78062246373,4682.600311603664
california,male,375535.5551204728,15411.3066188421
connecticut,male,47594.21238024715,1964.1430662357607
maryland,male,8933.094361197074,552.0595094489256
georgia,male,142879.18131397726,6405.617904205718
illinois,male,158391.87602097378,9750.613860548745
indiana,male,74486.96012231304,3396.877186308801
kansas,male,33697.66583258853,1092.0289721619927
kentucky,male,57991.22373047521,3205.5159473405324
louisiana,male,52141.96227503036,3428.1509356586143
maryland,male,74649.0987694621,2722.1191868860633
maine,male,14109.118309643969,745.2513719632069
michigan,male,128530.50028216644,4527.28012042727
missouri,male,73263.53429674252,4191.682718221526
mississippi,male,43771.978075702136,1768.5798075036878
montana,male,8166.206966821751,402.30195962780425
north carolina,male,135337,20929.591836734693
nebraska,male,16213.58983660871,750.45331805873
new hampshire,male,15277.710736577703,781.190702481325
new jersey,male,105142.63009327032,3223.3818902567787
new mexico,male,24819.017658455887,1005.5319656516865
nevada,male,23651.55732868857,1735.3812137141713
new york,male,231170.89964104746,12209.785132016556
ohio,male,120862.56881049859,5410.8630064352
oklahoma,male,50720.792907611496,2022.5357229975148
oregon,male,35228.727603463965,1807.0496904922556
pennsylvania,male,161730.66458171298,5663.493065585447
rhode island,male,14290.114021044872,667.6141501518462
tennessee,male,67314.40595893897,6879.886004939376
texas,male,315795.8935202939,12816.846458632237
united states,male,2048488.931776231,23494.859923112374
utah,male,32826.83518465199,1099.402000989665
vermont,male,6293.564912552318,271.711294593756
washington,male,57713.45507627876,2575.862062639113
wisconsin,male,58802.206019600475,3288.500696893908
west virginia,male,17454.251195385077,833.4127578367171
arizona,male,78656.77284187985,5250.296688395756
wyoming,male,5168.439914972283,360.2704150901366
iowa,male,22209.176036063567,1444.6942526365096
massachusetts,male,79923.09002976767,5809.676628437662
north dakota,male,4569.298182879866,456.0603391095225
delaware,male,16529,2224.4897959183672
idaho,male,13696.785059105927,1023.800897404246
virginia,male,91618.9104556492,5983.62264043561
minnesota,male,47944.164850724585,5720.868584801425
south dakota,male,5678.000000000001,820.9183673469388
alabama,white,57454.95529606442,4084.626052100083
california,white,211383.6038127451,9484.801122033847
connecticut,white,47864.863711039514,1895.5722517681502
maryland,white,1004.9378102002739,109.97667068936614
georgia,white,99366.36454689453,4382.478533328889
illinois,white,130169.13290926926,6998.244338836779
indiana,white,91113.40548549971,3380.2883142043393
kansas,white,40829.740660719435,1096.9523861388388
kentucky,white,74284.44822762326,3241.9388590611065
louisiana,white,34753.3029033047,2505.76873753399
maryland,white,46007.028994203276,1722.182109116092
maine,white,21088.055455494294,876.9126701894857
michigan,white,133535.0955963997,3929.8508034275574
missouri,white,85216.38037466291,4520.190921153852
mississippi,white,24483.55499496778,1196.1092586624604
montana,white,11068.903756834578,457.6418729990222
north carolina,white,123463,21018.367346938776
nebraska,white,19697.333992887656,724.9853305692404
new hampshire,white,15653.671818509692,729.2600561346458
new jersey,white,73545.32507962949,2376.431681935901
new mexico,white,11157.734304050558,621.0926217745287
nevada,white,17518.017940660175,1246.7508255632424
new york,white,160273.5017609753,7578.119132186056
ohio,white,145759.7397553114,5580.364373228907
oklahoma,white,44073.84541919867,1737.5372396153375
oregon,white,45555.32569932822,1974.8845752461532
pennsylvania,white,148095.08493234636,4426.792333578646
rhode island,white,15821.214973995506,669.0273444931938
tennessee,white,64850.11525809719,5768.191354819414
texas,white,186071.80020294612,8719.429021726863
utah,white,43709.00095745529,1205.9950251745322
vermont,white,10302.457833703382,337.62876473099703
washington,white,61284.56059518008,2363.57279829421
wisconsin,white,69837.3516646033,3489.786790659414
west virginia,white,28219.23198949108,1050.9767710865983
arizona,white,60993.775833373285,4383.924857943987
wyoming,white,6858.581399434032,416.954840427405
iowa,white,33006.77834559052,1726.877330625055
massachusetts,white,80985.86522082964,5471.7352202760385
north dakota,white,6752.538916503059,545.9689421819662
delaware,white,15750,2048.979591836735
idaho,white,17680.04590205837,1137.9930834042423
virginia,white,99251.66567753785,6244.037223687332
minnesota,white,65393.4704933564,6452.274057956438
south dakota,white,8490,1121.4285714285716
alabama,black,59219.838319105096,4401.8924989731195
california,black,54488.706790507655,6712.681739032892
connecticut,black,7665.3416253458245,761.076536707142
maryland,black,11638.262545846637,636.5098970531378
georgia,black,105115.4616302145,6019.523888086164
illinois,black,67828.18105165228,7213.555670282515
indiana,black,17444.19065158153,1642.0170239830413
kansas,black,5598.911333514593,464.8414517609115
kentucky,black,12012.787368035855,1580.1153921267307
louisiana,black,48602.17618635054,3636.9773802466107
maryland,black,56913.597984643784,2703.0969602666064
michigan,black,48515.08607789134,3034.7595194555633
missouri,black,23152.87497533859,2331.708758841511
mississippi,black,44055.86485343562,1864.3393664883422
north carolina,black,79504,16045.918367346942
nebraska,black,2979.717240042635,409.2187670465018
new jersey,black,40756.05009897692,2072.7944536322557
nevada,black,6640.601955813886,1879.387378013662
new york,black,92368.1597955661,9036.981979092103
ohio,black,40907.199306722105,3324.323721406869
oklahoma,black,12708.273435480294,1112.485986593579
pennsylvania,black,53220.45902632081,3429.4477095190823
rhode island,black,1016.9868780567657,150.4211590216122
tennessee,black,32662.916245645232,4486.478344983714
texas,black,104037.43060005314,8351.179839288066
utah,black,1736.3990529116295,455.8309170644888
vermont,black,529,436.734693877551
washington,black,3226.9920894261977,768.7320684186917
wisconsin,black,11394.281827488225,1197.815417605552
arizona,black,14250.729100605206,5898.1618197852285
iowa,black,3017.7423190741365,716.0552838752793
massachusetts,black,10709.410514411227,2114.2479819922028
delaware,black,7299,1423.4693877551022
virginia,black,29576.134755379084,2963.580948376238
minnesota,black,7587,2928.5714285714284
alabama,hispanic,8388,2966.326530612245
california,hispanic,286237.4113949804,14724.792120780636
connecticut,hispanic,16169.219296820953,1176.8916764907133
maryland,hispanic,1641.9478174904896,418.18687309810525
georgia,hispanic,15506.509224984138,2464.888214823651
illinois,hispanic,45614.611039417716,6442.597146616429
indiana,hispanic,10326.609666521015,1573.7453666738575
kansas,hispanic,7334.8340726587385,543.2745281803773
kentucky,hispanic,3734.689811365924,919.3991366057818
louisiana,hispanic,4115.994711245736,1307.5523568344338
maryland,hispanic,12212.67763916796,1319.5264360273322
maine,hispanic,1622,794.3877551020408
michigan,hispanic,16480.195626848224,1957.178586925468
missouri,hispanic,7849.384411277747,1936.7135524998325
mississippi,hispanic,2943.6061626060095,604.4051449802328
montana,hispanic,1029.1678219390033,183.91107617336155
north carolina,hispanic,26322,7018.367346938776
nebraska,hispanic,1880.8635361585195,232.34480723525456
new hampshire,hispanic,1768.8258135580918,424.6357553697115
new jersey,hispanic,48074.76052232812,2368.632283014812
new mexico,hispanic,23817.2465588474,1038.5064752863996
nevada,hispanic,12766.313713452777,1573.7265493663976
new york,hispanic,102363.44342154071,9329.127286858864
ohio,hispanic,10512.705823288685,1751.1120256875597
oklahoma,hispanic,8471.387086709597,826.1720623750397
oregon,hispanic,9011.068794544353,1110.0135300858649
pennsylvania,hispanic,32786.914220723054,3251.2241828538245
rhode island,hispanic,4203.226747619838,385.8131462279123
texas,hispanic,198772.05349022977,9719.949369535969
utah,hispanic,4908.721174996867,461.65565856647885
vermont,hispanic,512.8333612270288,115.24875030326106
washington,hispanic,16025.49498483447,1498.3089746330331
wisconsin,hispanic,8249.580027551896,3023.20050552137
arizona,hispanic,52606.01125939154,4720.570546249
wyoming,hispanic,630.2739746095473,136.46759571092755
iowa,hispanic,4108.697973628035,899.6499141902093
massachusetts,hispanic,24821.34641143988,3091.9948924370774
delaware,hispanic,2225,973.9795918367347
idaho,hispanic,3301.255062786484,549.7071002332257
virginia,hispanic,12592.338479430386,4559.180061431904
