state,strata,pop_at_risk,delta_o3,do3_se,n_smoky,yo,yo_se,beta,beta_se
minnesota,male,691772,-0.7041228825706584,0.4785995141040938,45.8,0.0095,4e-4,0.0095,0.004
minnesota,female,661401,-0.7041228825706584,0.4785995141040938,45.8,0.0095,4e-4,0.0095,0.004
mississippi,male,393781,8.811740792233623,0.8218515652930607,30.5,0.0095,4e-4,0.0095,0.004
mississippi,female,377907,8.811740792233623,0.8218515652930607,30.5,0.0095,4e-4,0.0095,0.004
missouri,male,760301,4.381615478641194,1.0447475508989015,26.666666666666668,0.0095,4e-4,0.0095,0.004
missouri,female,725616,4.381615478641194,1.0447475508989015,26.666666666666668,0.0095,4e-4,0.0095,0.004
montana,male,120675,-1.3035954384973885,1.0421519238620696,21.5,0.0095,4e-4,0.0095,0.004
montana,female,113925,-1.3035954384973885,1.0421519238620696,21.5,0.0095,4e-4,0.0095,0.004
nebraska,male,245155,NA,NA,NA,0.0095,4e-4,0.0095,0.004
nebraska,female,233997,NA,NA,NA,0.0095,4e-4,0.0095,0.004
nevada,male,367467,1.871937419137972,0.8917961588037685,14.833333333333334,0.0095,4e-4,0.0095,0.004
nevada,female,350363,1.871937419137972,0.8917961588037685,14.833333333333334,0.0095,4e-4,0.0095,0.004
new hampshire,male,151968,2.237445716467837,2.541148106038089,13,0.0095,4e-4,0.0095,0.004
new hampshire,female,145013,2.237445716467837,2.541148106038089,13,0.0095,4e-4,0.0095,0.004
new jersey,male,1096629,4.30348065040259,1.2391849341743608,23.4,0.0095,4e-4,0.0095,0.004
new jersey,female,1047637,4.30348065040259,1.2391849341743608,23.4,0.0095,4e-4,0.0095,0.004
new mexico,male,275409,0.6665321870912665,0.5388803058273527,30,0.0095,4e-4,0.0095,0.004
new mexico,female,265196,0.6665321870912665,0.5388803058273527,30,0.0095,4e-4,0.0095,0.004
new york,male,2302198,7.4138704827253585,0.9932147514156776,24.555555555555557,0.0095,4e-4,0.0095,0.004
new york,female,2202437,7.4138704827253585,0.9932147514156776,24.555555555555557,0.0095,4e-4,0.0095,0.004
north carolina,male,1217863,4.840678002978285,0.5736152916373429,30.071428571428573,0.0095,4e-4,0.0095,0.004
north carolina,female,1163923,4.840678002978285,0.5736152916373429,30.071428571428573,0.0095,4e-4,0.0095,0.004
north dakota,male,79812,-0.718660945854715,0.7665008905414159,38,0.0095,4e-4,0.0095,0.004
north dakota,female,76101,-0.718660945854715,0.7665008905414159,38,0.0095,4e-4,0.0095,0.004
ohio,male,1459863,4.487444605592271,0.6712301432237828,34.7,0.0095,4e-4,0.0095,0.004
ohio,female,1397524,4.487444605592271,0.6712301432237828,34.7,0.0095,4e-4,0.0095,0.004
oklahoma,male,525945,1.5967475445049761,0.6832444024849943,38.5,0.0095,4e-4,0.0095,0.004
oklahoma,female,502195,1.5967475445049761,0.6832444024849943,38.5,0.0095,4e-4,0.0095,0.004
oregon,male,475386,-2.307054093695364,0.8829536735269498,66,0.0095,4e-4,0.0095,0.004
oregon,female,453374,-2.307054093695364,0.8829536735269498,66,0.0095,4e-4,0.0095,0.004
pennsylvania,male,1486522,3.0428047621702374,1.4190406756386476,21,0.0095,4e-4,0.0095,0.004
pennsylvania,female,1419256,3.0428047621702374,1.4190406756386476,21,0.0095,4e-4,0.0095,0.004
rhode island,male,121196,9.441467473122215,3.131711620208615,11,0.0095,4e-4,0.0095,0.004
rhode island,female,115667,9.441467473122215,3.131711620208615,11,0.0095,4e-4,0.0095,0.004
south carolina,male,570049,9.327528142653765,1.2439463381432188,23,0.0095,4e-4,0.0095,0.004
south carolina,female,549267,9.327528142653765,1.2439463381432188,23,0.0095,4e-4,0.0095,0.004
south dakota,male,108818,-0.2977262750285157,1.0226923324606185,27.333333333333332,0.0095,4e-4,0.0095,0.004
south dakota,female,103377,-0.2977262750285157,1.0226923324606185,27.333333333333332,0.0095,4e-4,0.0095,0.004
tennessee,male,791324,4.68384975022509,2.4304900946000103,34,0.0095,4e-4,0.0095,0.004
tennessee,female,756802,4.68384975022509,2.4304900946000103,34,0.0095,4e-4,0.0095,0.004
texas,male,3614579,8.28196927028711,0.43850714056189105,39.774193548387096,0.0095,4e-4,0.0095,0.004
texas,female,3457425,8.28196927028711,0.43850714056189105,39.774193548387096,0.0095,4e-4,0.0095,0.004
utah,male,465697,1.7515251966871814,0.46796759517952496,28.363636363636363,0.0095,4e-4,0.0095,0.004
utah,female,441001,1.7515251966871814,0.46796759517952496,28.363636363636363,0.0095,4e-4,0.0095,0.004
vermont,male,68602,1.554207848288739,1.6832133021522477,23.5,0.0095,4e-4,0.0095,0.004
vermont,female,65133,1.554207848288739,1.6832133021522477,23.5,0.0095,4e-4,0.0095,0.004
virginia,male,1001980,8.115727586591744,0.9121610391909646,19.571428571428573,0.0095,4e-4,0.0095,0.004
virginia,female,961073,8.115727586591744,0.9121610391909646,19.571428571428573,0.0095,4e-4,0.0095,0.004
washington,male,888045,-1.4450958974156776,0.9305305755491331,40.8,0.0095,4e-4,0.0095,0.004
washington,female,846492,-1.4450958974156776,0.9305305755491331,40.8,0.0095,4e-4,0.0095,0.004
west virginia,male,205610,NA,NA,NA,0.0095,4e-4,0.0095,0.004
west virginia,female,195580,NA,NA,NA,0.0095,4e-4,0.0095,0.004
wisconsin,male,712387,3.243078926509611,0.5635039627903868,35.5,0.0095,4e-4,0.0095,0.004
wisconsin,female,680613,3.243078926509611,0.5635039627903868,35.5,0.0095,4e-4,0.0095,0.004
wyoming,male,72244,-1.2179716558722333,1.3851694294986299,21,0.0095,4e-4,0.0095,0.004
wyoming,female,68001,-1.2179716558722333,1.3851694294986299,21,0.0095,4e-4,0.0095,0.004
alabama,white,758526,6.168036540793379,0.855377499605896,32.42857142857143,0.0095,4e-4,0.0095,0.004
alabama,black,366378,6.168036540793379,0.855377499605896,32.42857142857143,0.0095,4e-4,0.0095,0.004
arizona,white,1374219,NA,NA,NA,0.0095,4e-4,0.0095,0.004
arizona,black,119584,NA,NA,NA,0.0095,4e-4,0.0095,0.004
arkansas,white,554184,5.5074680381129,1.7077936122330986,29.5,0.0095,4e-4,0.0095,0.004
arkansas,black,148964,5.5074680381129,1.7077936122330986,29.5,0.0095,4e-4,0.0095,0.004
california,white,7279226,2.494174546876336,0.4425310416487048,24.78787878787879,0.0095,4e-4,0.0095,0.004
california,black,842598,2.494174546876336,0.4425310416487048,24.78787878787879,0.0095,4e-4,0.0095,0.004
colorado,white,1098247,3.0958620869655618,1.0080965706046623,17.666666666666668,0.0095,4e-4,0.0095,0.004
colorado,black,89201,3.0958620869655618,1.0080965706046623,17.666666666666668,0.0095,4e-4,0.0095,0.004
connecticut,white,660879,7.530114222888063,1.5850624242069442,18.4,0.0095,4e-4,0.0095,0.004
connecticut,black,133879,7.530114222888063,1.5850624242069442,18.4,0.0095,4e-4,0.0095,0.004
delaware,white,139881,NA,NA,NA,0.0095,4e-4,0.0095,0.004
delaware,black,64192,NA,NA,NA,0.0095,4e-4,0.0095,0.004
florida,white,2965025,14.603116124837058,0.48895033783058345,26.5,0.0095,4e-4,0.0095,0.004
florida,black,987286,14.603116124837058,0.48895033783058345,26.5,0.0095,4e-4,0.0095,0.004
georgia,white,1512876,8.394070379725413,0.643853992356035,34.36363636363637,0.0095,4e-4,0.0095,0.004
georgia,black,926519,8.394070379725413,0.643853992356035,34.36363636363637,0.0095,4e-4,0.0095,0.004
idaho,white,410318,2.8246969056976874,1.3134345461504757,18.5,0.0095,4e-4,0.0095,0.004
idaho,black,8160,2.8246969056976874,1.3134345461504757,18.5,0.0095,4e-4,0.0095,0.004
illinois,white,2414110,3.077782143682389,0.6335156637882573,42.111111111111114,0.0095,4e-4,0.0095,0.004
illinois,black,606609,3.077782143682389,0.6335156637882573,42.111111111111114,0.0095,4e-4,0.0095,0.004
indiana,white,1385546,6.402586608509475,1.4603050061487217,17.8,0.0095,4e-4,0.0095,0.004
indiana,black,228655,6.402586608509475,1.4603050061487217,17.8,0.0095,4e-4,0.0095,0.004
iowa,white,675694,3.283443042393354,0.4158930464722037,44.07142857142857,0.0095,4e-4,0.0095,0.004
iowa,black,49276,3.283443042393354,0.4158930464722037,44.07142857142857,0.0095,4e-4,0.0095,0.004
kansas,white,644135,-0.9269572611440776,1.2420225405971406,46,0.0095,4e-4,0.0095,0.004
kansas,black,74995,-0.9269572611440776,1.2420225405971406,46,0.0095,4e-4,0.0095,0.004
kentucky,white,908413,4.03911989119097,0.5397091539639758,27.823529411764707,0.0095,4e-4,0.0095,0.004
kentucky,black,123351,4.03911989119097,0.5397091539639758,27.823529411764707,0.0095,4e-4,0.0095,0.004
louisiana,white,659078,10.90478106983647,0.894491663404189,31.7,0.0095,4e-4,0.0095,0.004
louisiana,black,448529,10.90478106983647,0.894491663404189,31.7,0.0095,4e-4,0.0095,0.004
maine,white,261561,4.690142121423655,1.4355742837081207,22.333333333333332,0.0095,4e-4,0.0095,0.004
maine,black,10452,4.690142121423655,1.4355742837081207,22.333333333333332,0.0095,4e-4,0.0095,0.004
maryland,white,806765,4.3197604984360645,1.8288996169773302,17.666666666666668,0.0095,4e-4,0.0095,0.004
maryland,black,499303,4.3197604984360645,1.8288996169773302,17.666666666666668,0.0095,4e-4,0.0095,0.004
massachusetts,white,1181355,7.4387867604117215,1.0339974576719628,26.375,0.0095,4e-4,0.0095,0.004
