state,strata,pop_at_risk,par_se,delta_o3,do3_se,n_smoky,yo,yo_se,beta,beta_se
vermont,marginal,11422.305327049105,359.0227801591249,1.554207848288739,1.6832133021522477,23.5,0.1067,0.0047,0.0095,0.004
washington,marginal,102209.78072139033,3356.5912796339667,-1.4450958974156776,0.9305305755491331,40.8,0.1067,0.0047,0.0095,0.004
wisconsin,marginal,101754.19198139745,4353.984366481898,3.243078926509611,0.5635039627903868,35.5,0.1067,0.0047,0.0095,0.004
west virginia,marginal,31891.92933215261,1128.9646914828913,NA,NA,NA,0.1067,0.0047,0.0095,0.004
arizona,marginal,137289.8333766376,7037.931298930198,NA,NA,NA,0.1067,0.0047,0.0095,0.004
wyoming,marginal,8494.712012737353,465.10797299122225,-1.2179716558722333,1.3851694294986299,21,0.1067,0.0047,0.0095,0.004
iowa,marginal,39871.75015555637,1891.6304309582003,3.283443042393354,0.4158930464722037,44.07142857142857,0.1067,0.0047,0.0095,0.004
massachusetts,marginal,136353.91496287964,7529.038025019768,7.4387867604117215,1.0339974576719628,26.375,0.1067,0.0047,0.0095,0.004
north dakota,marginal,8211.154834251216,622.2082857455073,-0.718660945854715,0.7665008905414159,38,0.1067,0.0047,0.0095,0.004
delaware,marginal,27920,2722.9591836734694,NA,NA,NA,0.1067,0.0047,0.0095,0.004
idaho,marginal,23080.276468631677,1312.9084472983802,2.8246969056976874,1.3134345461504757,18.5,0.1067,0.0047,0.0095,0.004
virginia,marginal,153984.97162686108,7455.582227500713,8.115727586591744,0.9121610391909646,19.571428571428573,0.1067,0.0047,0.0095,0.004
minnesota,marginal,80342.45860200575,7120.39107560055,-0.7041228825706584,0.4785995141040938,45.8,0.1067,0.0047,0.0095,0.004
south dakota,marginal,10719,1217.3469387755101,-0.2977262750285157,1.0226923324606185,27.333333333333332,0.1067,0.0047,0.0095,0.004
alabama,female,57568.79767067699,4324.370993548694,6.168036540793379,0.855377499605896,32.42857142857143,0.093,0.011,0.0095,0.004
california,female,289409.5631273897,14239.270446426312,2.494174546876336,0.4425310416487048,24.78787878787879,0.093,0.011,0.0095,0.004
connecticut,female,35680.45854158085,1700.9225837760691,7.530114222888063,1.5850624242069442,18.4,0.093,0.011,0.0095,0.004
maryland,female,6651.07293963763,493.6609462488967,4.3197604984360645,1.8288996169773302,17.666666666666668,0.093,0.011,0.0095,0.004
georgia,female,96577.26543742626,5326.129634158911,8.394070379725413,0.643853992356035,34.36363636363637,0.093,0.011,0.0095,0.004
illinois,female,112855.94002936517,8163.589842630304,3.077782143682389,0.6335156637882573,42.111111111111114,0.093,0.011,0.0095,0.004
indiana,female,55377.307880055196,2663.8483260161447,6.402586608509475,1.4603050061487217,17.8,0.093,0.011,0.0095,0.004
kansas,female,24936.128665322907,871.7811746568151,-0.9269572611440776,1.2420225405971406,46,0.093,0.011,0.0095,0.004
kentucky,female,40550.817023859054,2541.5933774838477,4.03911989119097,0.5397091539639758,27.823529411764707,0.093,0.011,0.0095,0.004
louisiana,female,39313.29417347001,3157.27150834745,10.90478106983647,0.894491663404189,31.7,0.093,0.011,0.0095,0.004
maryland,female,54409.332652024794,2416.873671784144,4.3197604984360645,1.8288996169773302,17.666666666666668,0.093,0.011,0.0095,0.004
maine,female,9840.195161664367,621.6950369850003,4.690142121423655,1.4355742837081207,22.333333333333332,0.093,0.011,0.0095,0.004
michigan,female,99354.58837693848,3852.0617624969877,2.707859151784442,0.9364894444155839,19.555555555555557,0.093,0.011,0.0095,0.004
missouri,female,52130.34878044955,3525.1613963529817,4.381615478641194,1.0447475508989015,26.666666666666668,0.093,0.011,0.0095,0.004
mississippi,female,29620.01026750057,1489.9684351088406,8.811740792233623,0.8218515652930607,30.5,0.093,0.011,0.0095,0.004
montana,female,6253.456622415904,349.0940247584188,-1.3035954384973885,1.0421519238620696,21.5,0.093,0.011,0.0095,0.004
north carolina,female,114612,18825,4.840678002978285,0.5736152916373429,30.071428571428573,0.093,0.011,0.0095,0.004
nebraska,female,12037.909456060455,626.8824801783927,NA,NA,NA,0.093,0.011,0.0095,0.004
new hampshire,female,10430.406644109658,621.3934759645625,2.237445716467837,2.541148106038089,13,0.093,0.011,0.0095,0.004
new jersey,female,73517.07240433441,2648.5127138553603,4.30348065040259,1.2391849341743608,23.4,0.093,0.011,0.0095,0.004
new mexico,female,15864.318677721845,823.2476894759844,0.6665321870912665,0.5388803058273527,30,0.093,0.011,0.0095,0.004
